,0
882,3
883,3
884,3
885,3
886,3
887,3
888,7
889,7
890,3
891,3
892,3
893,3
894,3
895,3
896,7
897,7
898,7
899,7
900,7
901,7
902,7
903,7
904,7
905,7
906,7
907,7
908,7
909,7
910,7
911,3
912,3
913,6
914,6
915,6
916,6
917,6
918,6
919,6
920,6
921,5
922,5
923,5
924,5
925,5
926,3
927,0
928,0
929,0
930,0
931,0
932,0
933,1
934,1
935,1
936,3
937,3
938,3
939,5
940,5
941,6
942,6
943,6
944,7
945,7
946,7
947,7
948,5
949,5
950,5
951,3
952,3
953,3
954,3
955,3
956,3
957,3
958,3
959,3
960,3
961,3
962,3
963,3
964,3
965,3
966,3
967,3
968,3
969,3
970,3
971,3
972,3
973,3
974,3
975,3
976,3
977,3
978,3
979,3
980,3
981,3
982,3
983,3
984,3
985,3
986,3
987,3
988,3
989,3
990,3
991,3
992,3
993,3
994,3
995,3
996,3
997,3
998,3
999,3
1000,3
1001,3
1002,3
1003,3
1004,3
